id,name
0c261a61-26e0-4c34-b66f-1b0464b50009,dumont
e252d25e-4128-4ff7-9017-b0ed533a9640,armaf
69a6d5bb-a4e8-48d8-af39-21eb736c1802,fragrance world
4fade79d-5907-449a-bbcd-95b4bd74e2f0,rasasi
09e93c05-a9c3-43e0-b361-60848409ac35,riffs
87ebc168-4ab2-40bd-b24a-08a068983b19,ibraheem al qurashi
f560d23b-81b0-4853-8c9a-785d42eb4791,nusuk
ee8fc8cc-8ae2-43ad-aa83-f4884619a02e,my perfumes
3a479c29-b9c3-4c6c-a175-95e4139a6415,zimaya
88881521-7454-473d-a936-567c0da38d38,ard al zaafaran
1d08f1ec-07b6-4200-88a1-2319cfcc94dc,al haramain
6f1162fc-aa9c-47a0-8645-d2c787ae91ec,dirham
2221295d-484f-4780-b30d-d5affe5e164a,sheikh zayed
34dc256f-11fd-4d01-9764-9a0f5d0f5cf2,al wataniah
1041910b-fe24-4ff5-ac0d-15064ba35979,insurrection
ab95dc2f-47d0-4dab-a6a5-9232f8bebd62,rue broca
96000888-b54c-4460-90c9-4e5bfd2983c4,khadlj
aa32e0a5-8a5b-4daa-9eda-f7a72dd80ca8,hamidi
ddd93fb7-0665-45d9-892e-69bb51134696,ajmal
0dd66e01-dbe1-438a-bc30-d7e2f1738f1f,rayhaan
5ee71bbb-8e12-476e-99a0-3a31df35b643,swiss arabian
94119e9f-1913-4980-b1c0-e4365fda92c4,al rehab
a77911f7-ebc3-4621-b2f0-e82b860052c5,paris corner
612a5ee4-e4b4-43e7-abe2-564cc7d35b76,Afnan
ba6ee248-6558-4a1c-840d-7ec0a074702a,xerjoff
58257c08-d284-4cf7-aa3c-ff675d7526d6,Paco Rabanne
020d8a5c-a635-45aa-8889-72158ea73138,Jean Paul Gaultier
2be434d7-a972-4b98-8ff6-5f8a07c324a0,Dior
7677e574-e14b-4e34-934e-86b4a0b972cb,Yves Saint Laurent
1788aaea-804a-4866-a1c7-47b2c7bf4e0c,Dolce & Gabbana
217d1ab8-286b-4f24-bf94-d8f4d839f998,Azzaro
a3401e31-c74c-4bbd-8c12-d459e7f49f4c,Al Haramain
57450cf8-1d59-4785-b2da-050d883a360a,Creed
e247a7f4-3b2f-45bf-89af-42e91f8edcd3,Versace
d7b687a7-78b7-40bf-a918-222af9da3e6b,Carolina Herrera
ff2803bc-3eb0-42f9-9962-2aabfbe521e0,Hugo Boss
2629a4ad-8d04-47cb-bf37-96f73b532e06,Hermès
2bf792c9-50cf-4386-a299-36f8e71b417d,Tom Ford
8cac2375-1e2f-4759-b9e1-8b62b684f7f1,Parfums de Marly
2d7922e2-9032-499c-9dd1-cbb1623da829,Giorgio Armani
8e70554e-f535-4cd1-b4dd-fa30f22f33c6,Valentino
dd69e986-cacc-4043-a2c1-ba912fcdcbb6,Louis Vuitton
04390ca7-509e-4868-b1a2-b59e55aff326,Prada
55a2293b-6fb7-4249-83f0-fa57b70ba51d,Victoria's Secret
cc1bc4ea-6c3e-4555-8d2e-1ef0bdcc8976,Guerlain
a07dcbae-64d2-47c4-ae8a-8bf6a4875d24,Diptyque
f2840dce-fa55-4d80-9823-1f4c33b50098,Jo Malone
af2c62fa-4bb2-4e39-a3f1-4b561dbac0ee,Ralph Lauren
ccef6c71-1aa4-4d7e-ac89-1534a83f2a06,Lattafa
0ab892bd-19a4-4fb0-9ad7-1f55aae95717,Maison Alhambra
9faf8525-8c4a-4730-9b56-3b4cabb4e653,Ajmal
7d71f9b9-62a5-4159-9c34-9d0d03ff1e7a,Brand
4d535dd0-ac56-4bac-8f46-11f41932484b,Zimaya
058f5964-bbb8-47f7-a738-ab1b6730405a,Montblanc
db42d6d6-d6d9-4275-a0eb-472a3c5f98d9,Mancera